id,name
res_city_01,الرياض
res_city_02,جدة
res_city_03,مكة
res_city_04,المدينة المنورة
res_city_05,تبوك
res_city_06,الدمام
res_city_07,الأحساء
res_city_08,القطيف
res_city_09,خميس مشيط
res_city_10,المظيلف
res_city_11,الهفوف
res_city_12,المبرز
res_city_13,الطائف
res_city_14,نجران
res_city_15,حفر الباطن
res_city_16,الجبيل
res_city_17,ضبا
res_city_18,الخرج
res_city_19,الثقبة
res_city_20,ينبع
res_city_21,خبر
res_city_22,عرعر
res_city_23,الحوية
res_city_24,عنيزة
res_city_25,سكاكا
res_city_26,جازان
res_city_27,القريات
res_city_28,الظهران
res_city_29,الباحة
res_city_30,الزلفي
res_city_31,الرس
res_city_32,وادي الدواسر
res_city_33,بيشة
res_city_34,سيهات
res_city_35,شرورة
res_city_36,بحرة
res_city_37,تاروت
res_city_38,الدوادمي
res_city_39,صبيا
res_city_40,بيش
res_city_41,أحد رفيدة
res_city_42,الفريش
res_city_43,بارق
res_city_44,الحوطة
res_city_45,الأفلاج
